"date","percentReturn"
2005-12-30,9.64695
2006-01-06,10.23873
2006-01-13,11.48536
2006-01-20,10.21055
2006-01-27,9.66574
2006-02-03,9.64159
2006-02-10,9.03235
2006-02-17,9.43225
2006-02-24,9.58924
2006-03-03,9.08738
2006-03-10,8.47949
2006-03-17,8.67675
2006-03-24,8.04605
2006-03-31,8.41642
2006-04-07,9.36515
2006-04-14,8.91963
2006-04-21,8.99612
2006-04-28,9.44566
2006-05-05,9.64695
2006-05-12,9.08469
2006-05-19,8.65662
2006-05-26,8.5278
2006-06-02,8.27418
2006-06-09,7.94944
2006-06-16,7.724
2006-06-23,7.89443
2006-06-30,7.68509
2006-07-07,7.43415
2006-07-14,6.79943
2006-07-21,8.14805
2006-07-28,8.80155
2006-08-04,9.1652
2006-08-11,8.54122
2006-08-18,9.11287
2006-08-25,9.22559
2006-09-01,9.17594
2006-09-08,9.73149
2006-09-15,9.94351
2006-09-22,9.7959
2006-09-29,10.32998
2006-10-06,9.95962
2006-10-13,10.06696
2006-10-20,10.72852
2006-10-27,10.79025
2006-11-03,10.50577
2006-11-10,11.15391
2006-11-17,11.52025
2006-11-24,12.29587
2006-12-01,12.25426
2006-12-08,11.84365
2006-12-15,11.77118
2006-12-22,11.03045
2006-12-29,11.38472
2007-01-05,11.41289
2007-01-12,12.69709
2007-01-19,11.87585
2007-01-26,11.45717
2007-02-02,11.37263
2007-02-09,11.17403
2007-02-16,11.38337
2007-02-23,11.95234
2007-03-02,11.4612
2007-03-09,11.80473
2007-03-16,12.02212
2007-03-23,12.54949
2007-03-30,12.46763
2007-04-06,12.70514
2007-04-13,12.10934
2007-04-20,12.2073
2007-04-27,13.40831
2007-05-04,13.52774
2007-05-11,14.59187
2007-05-18,14.76363
2007-05-25,15.24672
2007-06-01,15.88815
2007-06-08,16.70537
2007-06-15,16.16995
2007-06-22,16.50542
2007-06-29,16.3766
2007-07-06,17.75339
2007-07-13,18.48204
2007-07-20,19.28987
2007-07-27,19.30329
2007-08-03,17.693
2007-08-10,16.7738
2007-08-17,16.37928
2007-08-24,18.15596
2007-08-31,18.58269
2007-09-07,17.68227
2007-09-14,18.62697
2007-09-21,19.34355
2007-09-28,20.59421
2007-10-05,21.66504
2007-10-12,22.44335
2007-10-19,22.86873
2007-10-26,24.78497
2007-11-02,25.21035
2007-11-09,22.19107
2007-11-16,22.32794
2007-11-23,23.01902
2007-11-30,24.45218
2007-12-07,26.07319
2007-12-14,25.54851
2007-12-21,26.02086
2007-12-28,26.81527
2008-01-04,24.16099
2008-01-11,23.17334
2008-01-18,21.65297
2008-01-25,17.4461
2008-02-01,17.94797
2008-02-08,16.83821
2008-02-15,16.72416
2008-02-22,16.03038
2008-02-29,16.77649
2008-03-07,16.40478
2008-03-14,16.98985
2008-03-21,17.88356
2008-03-28,19.19057
2008-04-04,20.54187
2008-04-11,19.74478
2008-04-18,21.61002
2008-04-25,22.77614
2008-05-02,24.28041
2008-05-09,24.61723
2008-05-16,25.17681
2008-05-23,24.31128
2008-05-30,25.32845
2008-06-06,24.91111
2008-06-13,23.13041
2008-06-20,23.51955
2008-06-27,22.82445
2008-07-04,22.82848
2008-07-11,23.15858
2008-07-18,22.16155
2008-07-25,21.75495
2008-08-01,21.02227
2008-08-08,22.75199
2008-08-15,23.58262
2008-08-22,23.72352
2008-08-29,22.7493
2008-09-05,21.49462
2008-09-12,19.98632
2008-09-19,18.90877
2008-09-26,17.20858
2008-10-03,13.02586
2008-10-10,12.98963
2008-10-17,13.07015
2008-10-24,12.93327
2008-10-31,14.43755
2008-11-07,13.18287
2008-11-14,12.10934
2008-11-21,11.08144
2008-11-28,12.43542
2008-12-05,12.6139
2008-12-12,13.18689
2008-12-19,12.07713
2008-12-26,11.51488
2009-01-02,12.17778
2009-01-09,12.15497
2009-01-16,11.0479
2009-01-23,11.85707
2009-01-30,12.09458
2009-02-06,13.38146
2009-02-13,13.30632
2009-02-20,12.23816
2009-02-27,11.98454
2009-03-06,11.44644
2009-03-13,12.87289
2009-03-20,13.63241
2009-03-27,14.33825
2009-04-03,15.56475
2009-04-10,16.04515
2009-04-17,16.56178
2009-04-24,16.62619
2009-05-01,17.07438
2009-05-08,17.33606
2009-05-15,16.42759
2009-05-22,16.43833
2009-05-29,18.2244
2009-06-05,19.41332
2009-06-12,18.38006
2009-06-19,18.71688
2009-06-26,19.11408
2009-07-03,18.78934
2009-07-10,18.58805
2009-07-17,20.36339
2009-07-24,21.46912
2009-07-31,21.92537
2009-08-07,22.20986
2009-08-14,22.38027
2009-08-21,22.70771
2009-08-28,22.81908
2009-09-04,22.85397
2009-09-11,23.10223
2009-09-18,24.82791
2009-09-25,24.47231
2009-10-02,24.81181
2009-10-09,25.55925
2009-10-16,25.23451
2009-10-23,27.3668
2009-10-30,25.29489
2009-11-06,26.07857
2009-11-13,27.43523
2009-11-20,26.82735
2009-11-27,26.91725
2009-12-04,25.94169
2009-12-11,26.12285
2009-12-18,26.22483
2009-12-25,28.05117
2010-01-01,28.27795
2010-01-08,28.44569
2010-01-15,27.63383
2010-01-22,26.53615
2010-01-29,25.77261
2010-02-05,26.22886
2010-02-12,26.88907
2010-02-19,27.06218
2010-02-26,27.45804
2010-03-05,29.38099
2010-03-12,30.40755
2010-03-19,29.82382
2010-03-26,30.98456
2010-04-02,31.66491
2010-04-09,32.4459
2010-04-16,33.19871
2010-04-23,36.34279
2010-04-30,35.03577
2010-05-07,31.65016
2010-05-14,34.06021
2010-05-21,32.51702
2010-05-28,34.47083
2010-06-04,34.34737
2010-06-11,34.01861
2010-06-18,36.77757
2010-06-25,35.78858
2010-07-02,33.13698
2010-07-09,34.83851
2010-07-16,33.53418
2010-07-23,34.88146
2010-07-30,34.52048
2010-08-06,34.90158
2010-08-13,33.42683
2010-08-20,33.4993
2010-08-27,32.42308
2010-09-03,34.72445
2010-09-10,35.3471
2010-09-17,36.95201
2010-09-24,39.22654
2010-10-01,37.91148
2010-10-08,39.46137
2010-10-15,42.23509
2010-10-22,41.25953
2010-10-29,40.38863
2010-11-05,42.55581
2010-11-12,41.33468
2010-11-19,41.16022
2010-11-26,42.26998
2010-12-03,42.5974
2010-12-10,43.01608
2010-12-17,43.02279
2010-12-24,43.42402
2010-12-31,43.28446
2011-01-07,45.10408
2011-01-14,46.76268
2011-01-21,43.8427
2011-01-28,45.1014
2011-02-04,46.49698
2011-02-11,47.88585
2011-02-18,47.04179
2011-02-25,46.71973
2011-03-04,48.30855
2011-03-11,47.23369
2011-03-18,44.37275
2011-03-25,47.1733
2011-04-01,46.23665
2011-04-08,44.96184
2011-04-15,43.94199
2011-04-22,47.06058
2011-04-29,46.98409
2011-05-06,46.51845
2011-05-13,45.69184
2011-05-20,44.98331
2011-05-27,45.27719
2011-06-03,46.08636
2011-06-10,43.73265
2011-06-17,42.97582
2011-06-24,43.79304
2011-07-01,46.0622
2011-07-08,48.26963
2011-07-15,48.96877
2011-07-22,52.77709
2011-07-29,52.39867
2011-08-05,50.13623
2011-08-12,50.58844
2011-08-19,47.77581
2011-08-26,51.47276
2011-09-02,50.19392
2011-09-09,50.65419
2011-09-16,53.74327
2011-09-23,54.25318
